,City,2019
182,"Savannah city, Georgia",144464
183,"Bridgeport city, Connecticut",144399
184,"Torrance city, California",143592
185,"McAllen city, Texas",143268
186,"Syracuse city, New York",142327
187,"Surprise city, Arizona",141664
188,"Denton city, Texas",141541
189,"Roseville city, California",141500
190,"Thornton city, Colorado",141464
191,"Miramar city, Florida",141191
192,"Pasadena city, California",141029
193,"Mesquite city, Texas",140937
194,"Olathe city, Kansas",140545
195,"Dayton city, Ohio",140407
196,"Carrollton city, Texas",139248
197,"Waco city, Texas",139236
198,"Orange city, California",138669
199,"Fullerton city, California",138632
200,"Charleston city, South Carolina",137566
201,"West Valley City city, Utah",135248
202,"Visalia city, California",134605
203,"Hampton city, Virginia",134510
204,"Gainesville city, Florida",133997
205,"Warren city, Michigan",133943
206,"Coral Springs city, Florida",133759
207,"Cedar Rapids city, Iowa",133562
208,"Round Rock city, Texas",133372
209,"Sterling Heights city, Michigan",132438
210,"Kent city, Washington",132319
211,"Columbia city, South Carolina",131674
212,"Santa Clara city, California",130365
213,"New Haven city, Connecticut",130250
214,"Stamford city, Connecticut",129638
215,"Concord city, California",129295
216,"Elizabeth city, New Jersey",129216
217,"Athens-Clarke County unified government (balance), Georgia",126913
218,"Thousand Oaks city, California",126813
219,"Lafayette city, Louisiana",126185
220,"Simi Valley city, California",125613
221,"Topeka city, Kansas",125310
222,"Norman city, Oklahoma",124880
223,"Fargo city, North Dakota",124662
224,"Wilmington city, North Carolina",123744
225,"Abilene city, Texas",123420
226,"Odessa city, Texas",123334
227,"Columbia city, Missouri",123195
228,"Pearland city, Texas",122460
229,"Victorville city, California",122385
230,"Hartford city, Connecticut",122105
231,"Vallejo city, California",121692
232,"Allentown city, Pennsylvania",121442
233,"Berkeley city, California",121363
234,"Richardson city, Texas",121323
235,"Arvada city, Colorado",121272
236,"Ann Arbor city, Michigan",119980
237,"Rochester city, Minnesota",118935
238,"Cambridge city, Massachusetts",118927
239,"Sugar Land city, Texas",118488
240,"Lansing city, Michigan",118210
241,"Evansville city, Indiana",117979
242,"College Station city, Texas",117911
243,"Fairfield city, California",117133
244,"Clearwater city, Florida",116946
245,"Beaumont city, Texas",116825
246,"Independence city, Missouri",116672
247,"Provo city, Utah",116618
248,"West Jordan city, Utah",116480
249,"Murrieta city, California",116223
250,"Palm Bay city, Florida",115552
251,"El Monte city, California",115487
252,"Carlsbad city, California",115382
252,"North Charleston city, South Carolina",115382
254,"Temecula city, California",114761
255,"Clovis city, California",114584
256,"Springfield city, Illinois",114230
257,"Meridian city, Idaho",114161
258,"Westminster city, Colorado",113166
259,"Costa Mesa city, California",113003
260,"High Point city, North Carolina",112791
261,"Manchester city, New Hampshire",112673
262,"Pueblo city, Colorado",112361
263,"Lakeland city, Florida",112136
264,"Pompano Beach city, Florida",112118
265,"West Palm Beach city, Florida",111955
266,"Antioch city, California",111502
267,"Everett city, Washington",111475
268,"Downey city, California",111126
269,"Lowell city, Massachusetts",110997
270,"Centennial city, Colorado",110937
271,"Elgin city, Illinois",110849
272,"Richmond city, California",110567
273,"Peoria city, Illinois",110417
274,"Broken Arrow city, Oklahoma",110198
275,"Miami Gardens city, Florida",110001
276,"Billings city, Montana",109577
277,"Jurupa Valley city, California",109527
278,"Sandy Springs city, Georgia",109452
279,"Gresham city, Oregon",109381
280,"Lewisville city, Texas",109212
281,"Hillsboro city, Oregon",109128
282,"San Buenaventura (Ventura) city, California",109106
283,"Greeley city, Colorado",108649
284,"Inglewood city, California",108151
285,"Waterbury city, Connecticut",107568
286,"League City city, Texas",107536
287,"Santa Maria city, California",107263
288,"Tyler city, Texas",106985
289,"Davie town, Florida",106306
290,"Daly City city, California",106280
291,"Boulder city, Colorado",105673
292,"Allen city, Texas",105623
293,"West Covina city, California",105101
294,"Sparks city, Nevada",105006
295,"Wichita Falls city, Texas",104683
296,"Green Bay city, Wisconsin",104578
297,"San Mateo city, California",104430
298,"Norwalk city, California",103949
299,"Rialto city, California",103526
300,"Las Cruces city, New Mexico",103432
301,"Chico city, California",103301
302,"El Cajon city, California",102708
303,"Burbank city, California",102511
304,"South Bend city, Indiana",102026
305,"Renton city, Washington",101751
306,"Vista city, California",101638
307,"Davenport city, Iowa",101590
308,"Edinburg city, Texas",101170
309,"Tuscaloosa city, Alabama",101129
